,z,H_value,H_error
0,0.07,69.0,19.6
1,0.09,69.0,12.0
2,0.12,68.6,26.2
3,0.17,83.0,8.0
4,0.1791,74.91,3.8069262
5,0.1993,74.96,4.9001352
6,0.2,72.9,29.6
7,0.27,77.0,14.0
8,0.28,88.8,36.6
9,0.3519,82.78,13.94843
10,0.3802,83.0,13.54
11,0.4,95.0,17.0
12,0.4004,76.97,10.18
13,0.4247,87.08,11.24
14,0.4497,92.78,12.9
15,0.47,89.0,50.0
16,0.4783,80.91,9.044
17,0.48,97.0,62.0
18,0.5929,103.8,12.49752
19,0.6797,91.6,7.961872
20,0.75,98.8,33.6
21,0.7812,104.5,12.19515
22,0.8754,125.1,16.70085
23,0.88,90.0,40.0
24,0.9,117.0,23.0
25,1.037,153.7,19.6736
26,1.3,168.0,17.0
27,1.363,160.0,32.63
28,1.43,177.0,18.0
29,1.53,140.0,14.0
30,1.75,202.0,40.0
31,1.965,186.5,49.58
